反馈 ID,提交的日期,末页,起始语言,种子,开始日期,上次操作日期,请问您的实验编号是,请问您的实验条件是,请按照以下条件评估您的工作负荷，并且注意每一种任务需求的正负相关程度 [1、 Mental Demand---心理需求---How mentally demanding was the task? ---完成任务过程中需要付出多大的心理和脑力感知活动（如：思考、决策、计算、记忆、寻找等），该任务从脑力方面对你而言，是容易还是困难，简单还是复杂？],请按照以下条件评估您的工作负荷，并且注意每一种任务需求的正负相关程度 [2、Physical Demand---体力需求---How physically demanding was the task?---完成任务过程中需要付出多大的体力活动（如:推、拉、转、控制等），该任务从体力方面对你而言，是容易还是困难，轻松还是费力?],请按照以下条件评估您的工作负荷，并且注意每一种任务需求的正负相关程度 [3、Temporal Demand---时间需求---How hurried or rushed was the pace of the task?---在完成任务的过程中，由于任务的节奏，你感受到了多少时间上的压力?任务的节奏是慢还是快?],请按照以下条件评估您的工作负荷，并且注意每一种任务需求的正负相关程度 [4、 Performance---自我表现---How successful were you in accomplishing what you were asked to do?---请对您自身整体表现进行评估],请按照以下条件评估您的工作负荷，并且注意每一种任务需求的正负相关程度 [5、 Effort---努力程度---How hard did you have to work to accomplish your level of performance---在完成任务过程中，为了完成任务，你付出了多大的努力（脑力和体力）?],"请按照以下条件评估您的工作负荷，并且注意每一种任务需求的正负相关程度 [6、 Frustration---受挫程度---How insecure, discouraged, irritated, stressed, and annoyed wereyou?---在完成任务的过程中，你感受到的苦恼、压力、恼怒等受挫的感受程度是多少?]",总计时长,组时间: 实验信息填写,问题时间: INFO001,问题时间: INFO002,组时间: NASA-TLX评估量表,问题时间: SQ01,问题时间: SQ02,问题时间: SQ03,问题时间: SQ04,问题时间: SQ05,问题时间: SQ06
1,2024/12/11 13:11,2,zh-Hans,941127803,2024/12/11 13:10,2024/12/11 13:11,1,只做前扫视测试,Low,Low,Low,Good,Low,Very low,63.36,9.59,,,53.77,,,,,,
2,2024/12/11 13:24,2,zh-Hans,169050143,2024/12/11 13:23,2024/12/11 13:24,1,做前扫视测试与倒数,Medium,Fairly High,Medium,Medium,High,Fairly low,59.85,9.54,,,50.31,,,,,,
3,2024/12/11 13:31,2,zh-Hans,1121791826,2024/12/11 13:26,2024/12/11 13:31,1,只遥控小车,Very low,Very low,Very low,Very Good,Very low,Very low,277.86,267.99,,,9.87,,,,,,
4,2024/12/11 13:42,2,zh-Hans,72904704,2024/12/11 13:39,2024/12/11 13:42,1,只做反扫视测试,Very low,Very low,Very low,Very Good,Very low,Very low,171.85,162.65,,,9.2,,,,,,
5,2024/12/11 13:54,2,zh-Hans,2126216514,2024/12/11 13:42,2024/12/11 13:54,1,做反扫视测试与倒数,Low,Medium,Fairly low,Good,Fairly High,Very low,674.47,634.18,,,40.29,,,,,,
6,2024/12/11 14:29,2,zh-Hans,1254083423,2024/12/11 14:28,2024/12/11 14:29,2,只遥控小车,Very low,Very low,Low,Fairly Poor,Low,Low,66.08,11.06,,,55.02,,,,,,
7,2024/12/11 14:46,2,zh-Hans,1161360870,2024/12/11 14:45,2024/12/11 14:46,2,做反扫视测试与倒数,Fairly High,Fairly High,Fairly High,Fairly Poor,High,Very High,56.88,7.83,,,49.05,,,,,,
8,2024/12/11 14:59,2,zh-Hans,1595030184,2024/12/11 14:58,2024/12/11 14:59,2,只做前扫视测试,Medium,Fairly low,Fairly low,Medium,Medium,Fairly low,47.85,10.33,,,37.52,,,,,,
9,2024/12/11 15:11,2,zh-Hans,786910134,2024/12/11 15:11,2024/12/11 15:11,2,只做反扫视测试,Fairly low,Fairly low,Fairly low,Fairly Good,Fairly low,Fairly low,36.31,8.44,,,27.87,,,,,,
10,2024/12/11 15:25,2,zh-Hans,812000332,2024/12/11 15:24,2024/12/11 15:25,2,做前扫视测试与倒数,Medium,Fairly low,Fairly low,Medium,Fairly low,Fairly low,33.03,9.39,,,23.64,,,,,,
11,2024/12/13 09:40,2,zh-Hans,234029163,2024/12/13 09:39,2024/12/13 09:40,4,做前扫视测试与倒数,High,Fairly low,Medium,Fairly Good,High,Fairly High,74.02,14.52,,,59.5,,,,,,
12,2024/12/13 10:35,2,zh-Hans,2000646432,2024/12/13 10:30,2024/12/13 10:35,4,只做前扫视测试,Medium,Low,Medium,Good,Fairly High,Medium,270.92,233.34,,,37.58,,,,,,
13,2024/12/13 10:47,2,zh-Hans,1135326990,2024/12/13 10:47,2024/12/13 10:47,4,只做反扫视测试,Fairly High,Fairly low,Medium,Good,Fairly High,Medium,45.13,9.74,,,35.39,,,,,,
14,2024/12/13 10:55,2,zh-Hans,349382533,2024/12/13 10:54,2024/12/13 10:55,4,只遥控小车,Low,Low,Medium,Good,Low,Low,34.44,7.82,,,26.62,,,,,,
15,2024/12/13 11:06,2,zh-Hans,869563755,2024/12/13 11:06,2024/12/13 11:06,4,做反扫视测试与倒数,High,Medium,Medium,Fairly Good,High,Fairly High,33.77,10.58,,,23.19,,,,,,
16,2024/12/14 13:17,2,zh-Hans,2015857971,2024/12/14 13:17,2024/12/14 13:17,5,只遥控小车,Very low,Very low,Very low,Very Good,Very low,Very low,31.68,7.92,,,23.76,,,,,,
17,2024/12/14 13:32,2,zh-Hans,343410469,2024/12/14 13:31,2024/12/14 13:32,5,只做前扫视测试,Very low,Very low,Very low,Very Good,Very low,Very low,32.95,14.05,,,18.9,,,,,,
18,2024/12/14 13:46,2,zh-Hans,71027691,2024/12/14 13:34,2024/12/14 13:46,5,做反扫视测试与倒数,Very High,Very low,Medium,Poor,Very High,Low,728.99,699.48,,,29.51,,,,,,
19,2024/12/14 14:00,2,zh-Hans,1532265083,2024/12/14 13:59,2024/12/14 14:00,5,做前扫视测试与倒数,High,Very low,Very low,Good,Medium,Very low,29.82,11.38,,,18.44,,,,,,
20,2024/12/14 14:11,2,zh-Hans,1347862934,2024/12/14 14:10,2024/12/14 14:11,5,只做反扫视测试,Very low,Very low,Very low,Very Good,Very low,Very low,16.36,6.54,,,9.82,,,,,,
21,2024/12/15 04:26,2,zh-Hans,264668270,2024/12/15 04:12,2024/12/15 04:26,6,做反扫视测试与倒数,Fairly High,Fairly High,Fairly High,Poor,Fairly High,High,794.14,733.83,,,60.31,,,,,,
22,2024/12/15 04:40,2,zh-Hans,1428326537,2024/12/15 04:39,2024/12/15 04:40,6,只做反扫视测试,Low,Low,Medium,Fairly Good,Fairly low,Low,46.73,8.81,,,37.92,,,,,,
23,2024/12/15 04:48,2,zh-Hans,690252516,2024/12/15 04:48,2024/12/15 04:48,6,只遥控小车,Low,Low,Low,Good,Low,Very low,43.6,10.47,,,33.13,,,,,,
24,2024/12/15 05:04,2,zh-Hans,431686301,2024/12/15 05:04,2024/12/15 05:04,6,做前扫视测试与倒数,Medium,Fairly High,Medium,Medium,Fairly High,Fairly High,45.8,11.31,,,34.49,,,,,,
25,2024/12/15 05:17,2,zh-Hans,137770302,2024/12/15 05:06,2024/12/15 05:17,6,只做前扫视测试,Fairly low,Fairly low,Medium,Fairly Good,Medium,Fairly low,714.53,665.42,,,49.11,,,,,,
27,2024/12/15 12:49,2,zh-Hans,1620925678,2024/12/15 12:36,2024/12/15 12:49,8,只做前扫视测试,Very low,Very low,Very low,Poor,Very low,Fairly low,767.84,724.04,,,43.8,,,,,,
28,2024/12/15 12:58,2,zh-Hans,627754615,2024/12/15 12:52,2024/12/15 12:58,8,只遥控小车,Very low,Very low,Very low,Good,Very low,Low,354.45,337.79,,,16.66,,,,,,
29,2024/12/15 13:29,2,zh-Hans,650080341,2024/12/15 13:03,2024/12/15 13:28,8,做前扫视测试与倒数,Low,Very low,Very low,Medium,Low,Very low,1516.86,1483.16,,,33.7,,,,,,
30,2024/12/15 13:43,2,zh-Hans,768768089,2024/12/15 13:30,2024/12/15 13:43,8,做反扫视测试与倒数,Fairly low,Very low,Low,Good,Low,Low,813.33,791.5,,,21.83,,,,,,
31,2024/12/15 13:57,2,zh-Hans,1551422684,2024/12/15 13:45,2024/12/15 13:57,8,只做反扫视测试,Very low,Very low,Very low,Very Good,Very low,Very low,753.06,740.76,,,12.3,,,,,,
32,2024/12/16 12:49,2,zh-Hans,1932451611,2024/12/16 12:47,2024/12/16 12:49,9,做反扫视测试与倒数,High,Medium,Fairly High,Medium,Fairly High,Fairly High,91.41,18.16,,,73.25,,,,,,
33,2024/12/16 13:00,2,zh-Hans,922700882,2024/12/16 12:51,2024/12/16 13:00,9,只遥控小车,Medium,Medium,Fairly low,Good,Medium,Medium,543.12,510.06,,,33.06,,,,,,
34,2024/12/16 13:15,2,zh-Hans,1421604328,2024/12/16 13:00,2024/12/16 13:15,9,只做反扫视测试,Fairly High,Medium,Medium,Fairly Good,Fairly High,Fairly low,870.75,833.95,,,36.8,,,,,,
35,2024/12/16 13:27,2,zh-Hans,111869461,2024/12/16 13:27,2024/12/16 13:27,9,只做前扫视测试,Medium,Medium,Fairly low,Fairly Good,Fairly High,Fairly low,37.62,9.15,,,28.47,,,,,,
36,2024/12/16 13:42,2,zh-Hans,1971122166,2024/12/16 13:28,2024/12/16 13:42,9,做前扫视测试与倒数,High,Fairly High,Medium,Fairly Good,Fairly High,Medium,857.02,826.8,,,30.22,,,,,,
37,2024/12/17 13:25,2,zh-Hans,44003209,2024/12/17 13:07,2024/12/17 13:25,10,只做反扫视测试,Very low,Very low,Low,Good,Low,Low,1068.41,1016.74,,,51.67,,,,,,
38,2024/12/17 14:14,2,zh-Hans,2011631794,2024/12/17 13:25,2024/12/17 14:14,10,做前扫视测试与倒数,Medium,Medium,Medium,Medium,Medium,Medium,2918.76,2876.59,,,42.17,,,,,,
39,2024/12/17 14:28,2,zh-Hans,1079459368,2024/12/17 14:15,2024/12/17 14:28,10,做反扫视测试与倒数,Fairly High,Fairly High,Medium,Medium,Fairly High,Fairly High,791.08,755.12,,,35.96,,,,,,
40,2024/12/17 14:42,2,zh-Hans,752204007,2024/12/17 14:41,2024/12/17 14:42,10,只做前扫视测试,Fairly low,Fairly low,Fairly low,Good,Fairly low,Low,42.03,11.34,,,30.69,,,,,,
41,2024/12/17 14:48,2,zh-Hans,567026249,2024/12/17 14:43,2024/12/17 14:48,10,只遥控小车,Very low,Very low,Very low,Very Good,Very low,Very low,298.27,282.53,,,15.74,,,,,,
42,2024/12/18 12:54,2,zh-Hans,412351301,2024/12/18 12:39,2024/12/18 12:54,7,做前扫视测试与倒数,Low,Fairly low,Medium,Medium,Fairly High,Low,935.18,887.66,,,47.52,,,,,,
43,2024/12/18 13:10,2,zh-Hans,452555953,2024/12/18 12:57,2024/12/18 13:10,7,只做反扫视测试,Low,Medium,Very low,Medium,Fairly High,Medium,744.04,710.45,,,33.59,,,,,,
44,2024/12/18 13:33,2,zh-Hans,1827691647,2024/12/18 13:22,2024/12/18 13:33,7,只做前扫视测试,Low,Fairly low,Low,Medium,Medium,Medium,698.98,677.98,,,21,,,,,,
45,2024/12/18 13:50,2,zh-Hans,1073696829,2024/12/18 13:50,2024/12/18 13:50,7,做反扫视测试与倒数,Medium,Medium,Fairly low,Medium,Fairly High,Fairly High,32.96,8.75,,,24.21,,,,,,
46,2024/12/18 13:58,2,zh-Hans,85166878,2024/12/18 13:53,2024/12/18 13:58,7,只遥控小车,Low,Low,Low,Fairly Good,Fairly low,Fairly low,329.85,310.56,,,19.29,,,,,,
47,2024/12/19 13:04,2,zh-Hans,82739148,2024/12/19 12:47,2024/12/19 13:04,3,只做反扫视测试,Fairly low,Fairly low,Low,Medium,Medium,Low,1006.23,958.85,,,47.38,,,,,,
48,2024/12/19 13:21,2,zh-Hans,2103836362,2024/12/19 13:20,2024/12/19 13:21,3,做反扫视测试与倒数,Fairly High,Fairly High,Fairly low,Medium,Medium,Fairly low,45.9,8.6,,,37.3,,,,,,
49,2024/12/19 13:35,2,zh-Hans,1069262557,2024/12/19 13:30,2024/12/19 13:35,3,做前扫视测试与倒数,Medium,Medium,Low,Medium,Medium,Fairly low,290.16,257.7,,,32.46,,,,,,
50,2024/12/19 13:44,2,zh-Hans,1555054684,2024/12/19 13:38,2024/12/19 13:44,3,只遥控小车,Low,Low,Low,Medium,Fairly low,Low,327.29,291.47,,,35.82,,,,,,
51,2024/12/19 13:58,2,zh-Hans,361375424,2024/12/19 13:57,2024/12/19 13:58,3,只做前扫视测试,Low,Low,Low,Medium,Low,Low,29.24,7.59,,,21.65,,,,,,
